id,view_count,score,answer_count,comment_count,first_response_time(minutes)
65526392,46,0,1,3,528.7865
65526399,150,3,1,5,3976.60455
65526423,48,2,1,0,28.51033333333333
65526447,6104,2,1,5,235.642
65526455,54,2,1,3,118.21733333333333
65526458,34,1,1,2,26.841333333333335
65526570,101,2,2,0,56.72645
65526605,205,2,1,0,70.7835
65526623,87,2,1,3,58.95455
65526769,70,1,1,1,6572.041166666667
65526824,66,3,1,2,85.79111666666667
65526843,54,-2,2,0,25.170783333333333
65526847,98,2,2,3,63.808
65526941,179,1,1,3,7743.006166666667
65526953,60,0,2,2,27.115833333333335
65527090,139,0,1,1,14.92455
65527134,544,0,2,0,11.3545
65527191,58,0,2,3,19.3715
65527200,213,4,4,18,52.25083333333333
65527262,44,0,1,1,26726.278
65527266,100,0,3,0,38.51461666666667
65527269,37,0,1,0,129.77361666666667
65527279,31,0,1,1,41.5945
65527318,59,0,2,0,40.7565
65527416,109,-1,1,0,40.347833333333334
65527423,514,0,1,0,873.3526666666667
65527424,466,0,2,4,19.613783333333334
65527526,121,0,2,3,142.95133333333334
65527545,87,0,1,1,194.20928333333333
65527556,50,2,1,2,416.62716666666665
65527623,31,0,1,0,7.045566666666667
65527661,597,0,1,3,118635.2514
65527663,216,0,1,0,44731.47971666667
65527669,75,1,2,0,31.9915
65527689,39,0,1,3,52.94095
65527693,255,1,1,3,28629.299883333333
65527728,49,1,1,2,328.9769
65527809,87,1,2,1,9.39095
65527862,1591,2,1,1,82.02545
65527866,33,1,1,1,6064.957333333334
65527893,247,1,1,2,25.0624
65527898,178,-1,2,4,4.4417333333333335
65527928,79,2,1,0,13.645216666666666
65527963,163,0,2,1,311.40133333333335
65527972,99,1,1,0,3.19455
65527991,48,1,1,0,44.96321666666667
65528011,74,1,1,0,52.882
65528051,62,3,1,0,740.7992833333333
65528114,264,1,1,0,424.7117166666667
65528198,108,2,2,0,46.66693333333333
65528200,107,1,1,2,356.3152166666667
65528210,53,3,2,1,17.133166666666668
65528283,61,1,1,0,4.590116666666667
65528298,40,0,2,0,6.175783333333333
65528322,39,-2,1,0,6.6306
65528333,104,1,3,0,57.61793333333333
65528367,682,1,1,2,202972.645
65528457,131,1,1,0,26.113216666666666
65528492,952,2,1,6,206149.8825
65528516,231,1,1,0,48819.258233333334
65528567,52,0,1,4,12.80395
65528599,393,1,2,0,111.63583333333334
65528629,89,1,2,1,42.4324
65528656,86,1,2,3,5.246833333333333
65528680,48,0,1,3,52.98428333333333
65528725,42,1,2,1,8.9905
65528727,60,0,2,0,24.575
65528735,158,2,1,0,4493.5991
65528759,129,1,2,0,8.516333333333334
65528764,260,-1,1,2,5.971566666666667
65528766,61,1,2,0,51.216766666666665
65528907,45,0,1,2,71.91438333333333
65528948,152,-1,1,2,3.644833333333333
65528953,97,0,3,3,23.627383333333334
65529001,93,1,1,0,360.75738333333334
65529044,56,2,1,0,32.7804
65529089,136,0,1,7,391.75505
65529097,54,0,1,0,15.9655
65529103,67,1,1,8,4311.865883333333
65529165,232,1,1,0,226.07678333333334
65529188,44,2,3,0,4.8056
65529190,46,3,2,0,42.57706666666667
65529212,98,1,1,0,17.893166666666666
65529260,105,0,2,0,3.3807833333333335
65529262,104,0,1,3,4337.270666666666
65529267,107,0,1,7,8.953166666666666
65529303,144,0,1,0,4618.2275
65529418,93,0,1,4,77.67616666666666
65529551,987,1,1,0,441.3356
65529585,47,0,1,0,34.19045
65529617,80,1,2,13,18.385766666666665
65529644,105,4,2,0,3.648833333333333
65529791,42,0,1,5,30.52145
65529794,116,0,1,4,124.11388333333333
65529894,60,0,1,1,99.22195
65529898,963,3,1,3,30.898833333333332
65529904,143,0,1,1,33.344
65529905,73,1,1,1,42.8064
65529912,120,0,3,14,12.29795
65529925,31,0,2,1,6.5
65529953,34,0,1,5,14345.58895
65529965,39,0,1,0,47.192933333333336
65529968,59,1,2,0,6.039883333333333
65530020,53,-5,1,3,3879.2791666666667
65530024,484,2,1,0,1485.3656
65530035,41,0,1,1,23.634333333333334
65530092,245,2,1,1,3.79555
65530098,948,1,1,4,148.29226666666668
65530203,37,1,1,2,875.20155
65530294,50,0,1,0,11238.68355
65530318,328,0,2,2,10.965933333333334
65530459,69,0,1,0,2834.6757666666667
65530507,35,1,1,2,1.24095
65530570,81,0,1,3,7.088666666666667
65530584,327,0,2,0,18.9625
65530611,59,0,1,3,1670.3621666666666
65530629,51,0,1,1,5.795166666666667
65530675,125,0,3,1,6.373216666666667
65530712,151,1,1,0,19.968333333333334
65530740,18,0,1,0,1.9521666666666666
65530786,39,1,2,1,22.56305
65530794,40,0,1,2,76.86083333333333
65530800,117,1,1,0,17.20155
65530814,43,2,3,0,4.2792666666666666
65530851,45,1,2,0,23.466216666666668
65530852,3575,4,1,0,9192.194
65530862,36,1,1,0,23.485116666666666
65530893,42,1,1,0,9.223933333333333
65530935,308,0,3,3,8.43755
65530937,47,0,1,2,78.62088333333334
65530947,293,0,2,0,11.659716666666666
65530983,75,1,2,3,207.19778333333332
